user_id,eigen_central,eigen_central_bin,avg_perplexity,n_utts,admin_status,n_content_words,n_tokens,n_types,n_function_words,divergence_articles,divergence_impersonal pronouns,divergence_quantifiers,divergence_auxiliary verbs,divergence_conjunctions,divergence_prepositions,divergence_personal pronouns,divergence_adverbs
Ohyeahmormons,2.752122885208153e-05,False,184.16217630544406,2,False,41,73,51,36,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Vicki Rosenzweig,0.0003624236005145018,False,1169.4885218011564,4,False,78,134,90,62,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Richiar,0.001357231664230052,False,2434.4490243142604,4,False,76,125,74,51,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Konamaiki,0.0005016748596836263,False,1383.9675822899278,1,False,24,41,34,18,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Kriegman,0.00022954008727930038,False,990.47691143828251,1,False,108,156,98,64,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Nyttend,0.053091681116704446,True,7178.3068003314775,511,True,21587,33986,4088,14586,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
74.162.173.6,0,False,349.94199671824089,2,False,53,90,58,40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
71.249.255.91,0,False,1228.1853592636862,1,False,45,64,53,23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Michael Friedrich,0.0011291654646285406,False,1749.9390238343162,5,False,162,255,117,103,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Kungfuadam,0.031600780764336985,True,18239.120652350761,435,True,7301,11057,1815,4276,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Mkativerata,0.00751595129003429,False,2480.8039392508367,44,True,1854,2644,769,927,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Wikiman232,0.00023324031267341655,False,59.301598686484603,1,False,0,0,0,0,,,,,,,,
Baseball Bugs,0.030745408580315204,True,10668.268624550527,825,False,27943,44038,5785,18768,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Gopherguy,0.0002795357909805105,False,460.86444259930613,3,False,163,265,133,127,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Christopher Connor,0.004315590484521136,False,36669.920788612006,12,False,864,1372,533,585,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PikDig,0.00020375715843636783,False,2491.5138661755673,19,False,502,776,305,319,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Nyssane,0.0005486050487483944,False,333.04338992689554,1,False,8,12,12,4,,,,-0.0,,-0.0,-0.0,
Crackthewhip775,0.006177357661290967,False,1570.4395268806275,8,False,286,446,212,182,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Smithcool,0.0005183381091880359,False,1753.806629754253,3,False,34,64,49,33,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
81.39.1.110,0,False,392.88518277394473,1,False,50,78,58,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Wayne Slam,0.0006164913422552482,False,19276.718178237705,25,False,390,558,233,192,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Divebomb,0.00014055558210401698,False,28608.058608564297,2,False,28,43,31,16,-0.0,-0.0,,-0.0,,-0.0,,-0.0
36hourblock,7.804678500811482e-05,False,381.36547749615244,1,False,23,31,26,11,-0.0,,-0.0,-0.0,,-0.0,-0.0,-0.0
Lcarsdata,0.0006576256517686612,False,69481.478532521811,4,False,29,45,28,18,,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Zeno_McDohl,0,False,1395.5573814361726,2,False,101,131,76,36,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
AwesomeCoffee,0.00030381625367668756,False,1604.7974554007226,1,False,54,81,58,29,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Morris Darkstar,0.0008081342714343447,False,59.301598686484603,1,False,0,0,0,0,,,,,,,,
115.128.41.26,0,False,492.52759385252125,1,False,26,36,30,10,-0.0,-0.0,,-0.0,-0.0,-0.0,,-0.0
JBazuzi,7.2452117165952425e-06,False,671.56450541494723,1,False,24,35,30,12,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Jack forbes,0.0039135555179102945,False,4446.1463605140116,35,False,1348,2380,676,1185,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Arturico,0.00024237618156576658,False,276764.29500675725,1,False,3,3,3,0,,,,,,,,
Born Acorn,0.0008086216869555669,False,1778.6079026809614,1,False,42,61,44,22,-0.0,-0.0,,-0.0,-0.0,-0.0,,-0.0
NotifyBot,0.00012263464217844664,False,433.75940864154074,2,False,190,272,94,108,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Geiremann,0.00014388828755963127,False,759.47027372988043,1,False,88,143,92,68,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Mpdelbuono,6.546797205688271e-06,False,407.32485383295307,1,False,28,48,38,23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Prayerfortheworld,0.0008538182450982157,False,3933.3158207811075,13,False,322,471,222,178,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ElonkaBot,0.002709034356939319,False,1097.3607204400193,1,False,41,69,52,37,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MissMJ,0.00017032408643419543,False,139252.10622436812,2,False,15,15,11,0,,,,,,,,
75.177.21.40,0,False,409.97725041605065,1,False,35,62,45,31,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Anam Gumnam,0.00012513871644903433,False,639.73803579121204,2,False,61,113,77,58,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Mackan,0.0037639747791994114,False,527.82287348363104,17,False,702,1110,442,476,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Martin H.,0.002055814879070446,False,2954.8301145466153,11,False,457,651,230,218,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
149.254.218.241,0,False,2345.3125600010935,1,False,27,33,26,7,,,-0.0,-0.0,,-0.0,,-0.0
217.236.232.115,0,False,59.301598686484603,1,False,0,0,0,0,,,,,,,,
Geoff B,0.0007622883470362541,False,11280.706568342352,3,False,61,82,59,24,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
The Filmaker,0.0004394140193503432,False,629.81833768827994,6,False,426,721,303,343,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Tree Biting Conspiracy,0.0015765532329349754,False,1937.4270446670707,3,False,78,117,79,41,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
