user,year,coord_given,coord_received,e_central,e_central_chg
Weakopedia,2009,,,3.6222793295437006e-06,-2.663439705487718e-06
Guroadrunner,2008,,,4.0910936982444224e-07,5.602793238086645e-07
Guroadrunner,2009,,,9.693886936331067e-07,9.678933774619587e-07
Guroadrunner,2010,,,1.9372820710950654e-06,3.7841211797255025e-06
Guroadrunner,2007,,,0.00010219236246345157,-0.00010178325309362714
Savolya,2008,,,1.278299026642366e-07,1.329895804881867e-06
Crohnie,2008,0.5,0.5,1.852832974889765e-06,3.122436909912244e-05
Crohnie,2009,,,3.30772020740122e-05,0.0003169593903034038
Crohnie,2010,0.11802721088435372,0.08078231292517006,0.000350036592377416,0.0028689325039434627
Crohnie,2007,,0.5,2.7622782799621623e-05,-2.5769949824731857e-05
Everyone Dies In the End,2010,,0.5,9.266271055325713e-08,2.7121173560095474e-05
Premkudva,2008,,,2.9567404351550076e-07,6.10694204870096e-07
Premkudva,2007,-0.5,-0.5,1.3033517963586792e-06,-1.0076777528431784e-06
Dailycare,2009,,,2.2464090077649643e-06,-1.464181390732653e-06
NCurse,2006,0.18531746031746033,0.18531746031746033,1.2001161820397906e-06,9.381196106982077e-06
NCurse,2007,,,1.0581312289021868e-05,-1.057704236775611e-05
NCurse,2008,,,4.269921265757328e-09,9.253262077411102e-05
NCurse,2009,,,9.253689069537677e-05,-9.250662263621723e-05
NCurse,2010,,,3.0268059159549825e-08,9.362154138023549e-08
Tofutwitch11,2010,,,2.4666126213280453e-07,8.766706091671584e-05
Turnstep,2006,,,4.100173601307255e-09,-4.040480379767468e-09
Bender235,2008,,,9.230956092440385e-07,0.00010351476095083011
Bender235,2009,,-0.5,0.00010443785656007415,-0.00010359237984554962
Bender235,2010,,,8.454767145245216e-07,0.00025042348693369296
Hairy Dude,2008,,,8.436365464832784e-07,-6.464060506348256e-07
Hairy Dude,2009,-0.5,-0.5,1.9723049584845291e-07,2.6301287989849955e-08
Hairy Dude,2006,,,1.3265071093189133e-12,1.1189526349244955e-08
Hairy Dude,2007,,,1.1190852856354273e-08,8.324456936269241e-07
Mattg82,2009,,,1.2823958926288564e-08,1.7059796079795994e-05
Mattg82,2010,,,1.7072620038722282e-05,1.7417922877745506e-05
Ozurbanmusic,2010,,-0.08333333333333337,3.2802243384561425e-07,0.00016737520944177113
Rgfolsom,2006,,,1.415339772389549e-06,-9.621031503935403e-07
AgnosticPreachersKid,2008,-2.7755575615628914e-17,-2.7755575615628914e-17,2.253519037916144e-05,0.0013478900760091578
AgnosticPreachersKid,2009,0.5,-0.08333333333333331,0.0013704252663883192,-0.0013630919702516497
Chetblong,2007,,,5.082270977863614e-09,7.726366329949308e-07
Slf67,2006,,,0.002021193092149345,-0.0020211833031730554
StephenBuxton,2008,,,1.6526944567272045e-05,-1.652648959940375e-05
StephenBuxton,2009,,,4.549678682941592e-10,5.820594862851781e-07
StephenBuxton,2010,,0.5,5.825144541534723e-07,-3.02746858602526e-07
Wareh,2006,,,4.054857357570307e-05,-4.023839269499913e-05
